date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Apr 20, 2021	₩2,411,361.33	₩2,621,308.44	₩2,290,856.50	₩2,603,098.61	₩43,982,904,529,294	₩300,324,356,549,836
Apr 19, 2021	₩2,499,101.35	₩2,545,747.34	₩2,326,711.50	₩2,416,100.88	₩38,033,861,743,629	₩279,472,203,639,126
Apr 18, 2021	₩2,620,166.01	₩2,641,391.42	₩2,246,439.40	₩2,498,101.12	₩56,610,100,128,980	₩288,592,264,933,094
Apr 17, 2021	₩2,713,413.91	₩2,788,680.18	₩2,605,906.91	₩2,618,426.98	₩36,123,090,696,868	₩302,454,757,105,417
Apr 16, 2021	₩2,810,214.36	₩2,851,465.47	₩2,585,459.52	₩2,715,608.74	₩40,420,033,576,662	₩313,655,208,067,171
Apr 15, 2021	₩2,719,686.38	₩2,842,025.89	₩2,690,482.47	₩2,813,022.05	₩36,089,598,987,988	₩324,793,027,130,905
Apr 14, 2021	₩2,579,152.06	₩2,735,493.32	₩2,561,499.50	₩2,718,648.54	₩39,924,060,404,528	₩315,400,454,024,883
Apr 13, 2021	₩2,407,728.89	₩2,601,989.76	₩2,406,690.42	₩2,578,972.51	₩33,151,722,906,199	₩298,757,669,686,482
Apr 12, 2021	₩2,422,846.78	₩2,476,090.56	₩2,373,525.70	₩2,407,716.47	₩24,401,777,662,014	₩277,368,116,526,863
Apr 11, 2021	₩2,394,627.10	₩2,431,639.97	₩2,380,736.34	₩2,423,178.43	₩22,075,624,365,052	₩279,194,686,325,506
Apr 10, 2021	₩2,321,964.59	₩2,463,096.44	₩2,312,632.34	₩2,394,386.33	₩28,012,577,437,641	₩276,382,337,622,201
Apr 09, 2021	₩2,332,823.32	₩2,357,261.07	₩2,304,601.16	₩2,323,082.70	₩22,127,350,533,215	₩267,067,525,653,224
Apr 08, 2021	₩2,203,181.41	₩2,335,702.61	₩2,195,169.08	₩2,332,601.46	₩28,321,616,294,013	₩269,644,983,967,025
Apr 07, 2021	₩2,368,661.57	₩2,385,768.23	₩2,176,134.25	₩2,205,356.52	₩40,395,746,313,492	₩254,361,702,591,314
Apr 06, 2021	₩2,373,285.20	₩2,419,158.64	₩2,299,697.72	₩2,369,389.04	₩32,877,185,259,598	₩274,942,037,942,400
Apr 05, 2021	₩2,364,946.23	₩2,404,604.20	₩2,291,558.80	₩2,371,478.38	₩32,638,962,410,836	₩274,700,819,869,552
